Timestamp;Tahukah anda bahwa rel kereta api di buat renggang pada sambungannya? Mengapa?;Kupu-kupu dapat melakukan metamorfosis. Apa itu metamorfosis?;Mengapa bisa terjadi siang dan malam?;Kapur barus pada lemari semakin lama akan habis karena menyublim. Jelaskan apa itu menyublim?;Kayu yang berada dalam air akan mengambang. Mengapa begitu?;;;
1/15/2021 17.26.30;Agar pada saat memuai rel menjadi tidak bergelombang;Proses perubahan bentuk dari ulat menjadi kepompong lalu menjadi kupu-kupu;Karena bumi berputar ;Proses dari benda padat menjadi uap ;Karena di massa kayu lebih ringan dibandingkan air;;;
1/15/2021 17.30.08;Karena terjadi pemuaian pada siang hari, jika pemuaian terjadi maka masih ada tempat. Sehingga rel tidak bengkok.;Perubahan penampilan ;Karena adanya rotasi bumi;Perubahan wujud dari padat menjadi gas;Karena massa jenis kayu lebih kecil daripada air;;;
1/15/2021 17.35.46;karena saat panas rel kereta memuai;perkembangan biologi pada hewan;karena bumi berotasi ;benda padat menjadi uap;karena massa kayu lebih ringan dari air;;;
1/15/2021 17.45.48;agar bisa memuai saat musim panas;perubahan dari telur sampai kupu-kupu;perubahan dari telur sampai kupu-kupu;perubahan dari padat ke gas;karena volume kayu lebih ringan daripada air;;;
1/15/2021 17.48.50;Karena mencegah pemuaian saat siang hari dan mencegah penyusutan saat malam hari;Suatu proses perkembangan pada pertumbuhan sel;Karena matahari dan bumi melakukan rotasi maka terjadilah siang dan malam;Perubahan wujud padat ke wujud gas;Karena massa jenis kayu kecil;;;
1/15/2021 17.50.38;Agar saat terjadi pemuaian rel tidak bengkok;Perubahan bentuk fisik;Karena adanya rotasi bumi;Perubahan dari zat padat menjadi gas;Massa jenisnya kecil;;;
1/15/2021 17.57.19;Agar tidak patah ketika memuai;Proses perubahan bentuk pada hewan yang melibatkan perubahan fisik;Karena bumi mengelilingi matahari dan bumi berputar pada porosnya (karena bumi melakukan revolusi & rotasi);Perubahan wujud dari padat menjadi gas;Karena massa jenis kayu lebih ringan dibanding massa jenis air;;;
1/15/2021 18.13.25;untuk mengantisipasi terjadinya pemuaian di siang hari;Perkembangan biologi pada hewan;Adanya rotasi bumi;perubahan wujud benda dari gas menjadi benda cair;Massa jenis kayu lebih kecil daripada air;;;
1/15/2021 18.58.33;karena rel kereta mengalami pemuaian yang bisa bikin rel melengkung dan membahayakan perjalanan kereta;Perubahan dari telur, ulat, kepompong, kupu-kupu, kasian deh lu *sambil nyanyi. Intinya suatu perubahan dari mahluk hidup untuk lebih sempurna;Karena bumi berputar pada porosnya, mengelilingi matahari/sebaliknya;Proses penguapan pada benda padat yang menjadi uap?;Karena kayu memiliki ruang udara dan tidak bisa tenggelam;;;
1/15/2021 18.59.45;untuk mengantisipasi jika rel memuai pada siang hari;Perubahan penampilan/bentuk/struktur biologis dalam masa perkembangan hewan ;Karna adanya rotasi bumi;Perubahan benda padat menjadi gas;massa jenis air lebih besar dari massa jenis kayu;;;
1/15/2021 19.05.47;Agar kereta bisa lewat;Perubahan atau berkembang;Adanya rotasi bumi;Peleburan;Berbeda massa jenis;;;
1/15/2021 19.08.45;Karena besi memuai;Siklus hidup;Karena bumi berotasi;Zat padat berubah menjadi gas;Karena beratnya lebih ringan;;;
1/15/2021 19.10.44;karena saat panas siang hari besi pada rel akan memuai. ruang yang renggang diperlukan saat besi tersebut memuai;siklus hidup yang ditandai dengan perubahan bentuk yang berbeda;karena bumi berotasi;perubahan benda padat menjadi gas;karena massa kayu lebih ringan daripada air;;;
1/15/2021 19.22.49;Karena pada siang hari sinar matahari menyebabkan besi rel kereta memuai  menyebabkan rel bengkok.;Suatu proses perkembangan biologi pada hewan yang melibatkan perubahan penampilan fisik dan/atau struktur setelah kelahiran atau penetasan. ;Rotasi bumi adalah bumi berputar pada porosnya selama kurag lebih 24 jam. Rotasi bumi berakibat, sebagian bumi yang terkena sinar matahari, disebut siang, dan sebagian tidak terkena sinar matahari, disebut malam.;Perubahan wujud dari padat menjadi gas.;semakin kecil massa jenisnya dibandingkan dengan air, benda itu akan mengapung diatasnya. ;;;
1/15/2021 19.31.54;Karena supaya tidak ada tabrakan;Perubahan;Karena bumi mengelilingi matahari ;  suatu keadaan yang tidak ada oksigen yang lama kelamaan akan habis;Karena ada tekanan di dalam udara;;;
1/15/2021 19.33.35;Karena akan memuai pada siang hari;perkembangan bentuk hewan;Karena adanya rotasi bumi;perubahan dari benda padat menjadi gas;karena massa jenis kayu kecil;;;
1/15/2021 19.33.45;karena jika tidak dibuat renggang akan mengakibatkan tidak adanya ruang untuk pemuaian;-;karena bumi berotasi;perubahan benda padat menjadi gas;massa jenis kayu lebih ringan daripada massa jenis air;;;
1/15/2021 19.34.35;Menghindari pemuaian pada siang hari.;Perubahan pada hewan untuk mencapai kedewasaan;Adanya rotasi bumi.;Perubahan dari zat padat ke gas.;Karena kayu memiliki serat.;;;
1/15/2021 19.36.10;mengantisipasi pemuaian pada rel kereta api ;perubahan wujud hidup suatu mahluk hidup dari telur, ulat, pupa, hingga kupu-kupu dewasa;karena bumi berotasi (berputar pada porosnya), sehingga seolah matahari berpindah dari timur ke barat;kondisi di mana zat benda padat berubah menjadi gas;karena massa jenis kayu tidak lebih berat dibanding tegangan permukaan air;;;
1/15/2021 19.37.47;agar ketika rel mengalami pemuaian tidak menimbulkan bahaya untuk kereta yang berjalan;Proses perubahan dari larva sampai jadi kupu kupu;Bumi berputar pada porosnya;Perubahan benda padat menjadi gas;Karena kayu lebih ringan dari air;;;
1/15/2021 19.39.57;Karena saat panas rel kereta api bisa bertambah ukuran;Sempurna ;Karena terjadi perputaran bumi;Berubahnya zat padat menjadi gas yang bercampur di udara;Karena massa kayu lebih ringan daripada massa air;;;
1/15/2021 19.42.34;Karena pada siang hari rel besi memuai sehingga perlu tempat untuk jadi panjang ;Proses perkembangan pada hewan;Adanya rotasi bumi;Perubahan bentuk wujud dari padat menjadi gas;Gaya apung> Dari gaya gravitasi;;;
1/15/2021 19.42.35;Agar ada ruang untuk memuai ketika terkena panas;Berubah bentuk;Rotasi bumi;Perubahan benda padat ke gas;Massa jenis kayu ringan;;;
1/15/2021 19.45.41;Agar tidak memuai saat suhu tinggi;Siklus perubahan suatu makhluk hidup di mana fisik pada fase larvanya berbeda dengan fisik pada fase dewasanya;Karena bumi melakukan rotasi sehingga terjadi perubahan siang dan malam;Perubahan fase jenis benda dari padat ke uap;Karena massa jenis kayu lebih kecil daripada massa jenis air;;;
1/15/2021 19.47.02;gunanya untuk memberi ruang ketika melar saat panas.;perubahan bentuk tubuh pada pertumbuhan.;karena bumi berputar pada porosnya.;perubahan benda padat menjadi uap.;kayu akan menyerap air.;;;
1/15/2021 19.47.35;Karena rel kereta yg terkena panas matahari nanti akan memuai dan memanjang;Perubahan bentuk mahluk hidup yang terdapat fase kepompong;Karena bumi berotasi ;Benda padat ke gas;Karena akan menyerap air sehingga kayu akan mengembang Karena bermuatan air;;;
1/15/2021 19.49.20;agar ketika rel memuai tidak bertabrakkan dengan rel di sekitarnya.;pertumbuhan suatu makhluk hidup hewan yang memengaruhi bentuk fisiknya;karena rotasi bumi;perubahan wujud partikel padat menjadi gas;massa jenis air lebih besar daripada massa jenis kayu;;;
1/15/2021 19.51.07;Karena berpengaruh jika terjadi pemuaian; siklus pembentukan hewan dari telur hingga menjadi bentuk yg sempurna;Terjadi karena putaran rotasi bumi;Meleburnya benda padat karena udara;Karna massa air lebih berat dari massa kayu;;;
1/15/2021 19.55.05;tidak bengkok waktu memuai;perubahan bentuk hewan dari masih kecil sampai menjadi dewasa;karena adanya rotasi bumi;berubahnya benda dari padat menjadi gas;karena massa jenis air lebih besar daripada kayu, dan kerapatan air juga lebih rapat daripada kayu;;;
1/15/2021 20.00.15;Dibuat renggang agar ketika suhu meningkat (krn panas) dan terjadi pemuaian, relnya tidak melengkung keatas; proses perubahan serangga dari telur hingga dewasa;Karena bumi berotasi ketika mengelilingi matahari;Proses perubahan wujud dari padat menjadi gas;Karena massa air lebih besar daripada kayu;;;
1/15/2021 20.13.38;Karena adanya proses pemuaian jika terkena panas di siang hari;Perubahan bentuk tubuh pada hewan;Karena pergerakan rotasi bumi pada porosnya;Perubahan wujud zat padat menjadi gas;Karena massa jenis kayu lebih kecil dibandingkan massa jenis air;;;
1/15/2021 20.20.24;karena kalau tidak diberi ruang pemuaian, maka rel tersebut akan melengkung.;proses perkembangan biologi pada hewan yang melibatkan perubahan penampilan fisik (bentuk) dan/atau struktur setelah kelahiran atau penetasan.;karena bumi mengalami rotasi.;peristiwa perubahan wujud benda padat menjadi gas.;karena massa jenis pada kayu lebih kecil dari air. ;;;
1/15/2021 20.30.27;tidak tahu;perubahan bentuk;rotasi bumi;perubahan wujud dari padat menjadi gas;kayu memiliki massa jenis lebih ringan daripada air;;;
1/15/2021 20.54.41;agar relnya tidak membengkok ketika terjadi penambahan zat; perubahan bentuk yang terjadi pada kupu kupu dimana tadinya seekor ulat menjadi kupu-kupu.;karena bumi memutari matahari; perubahan zat dari benda padat menjadi gas;karena massa kayu lebih ringan dibandingkan massa air.;;;
1/15/2021 20.54.45;memudahkan terjadinya pemuaian.;proses perkembangan biologi pada hewan berupa perubahan bentuk dari lahir hingga dewasa.;karena bumi berputar, sehingga bagian yang terkena sinar matahari disebut siang dan bagain yang tidak terkena sinar matahari disebut malam.;perubahan wujud padat menjadi gas.;massa jenis kayu lebih kecil daripada massa jenis air.;;;
1/15/2021 20.56.43;Untuk menghindari pemuaian di siang hari;Perkembangan hewan yang menyebabkan berubahnya fisik ;Karena bumi berotasi mengelilingi matahari. Bagian bumi yang terkena cahaya matahari akan mengalami siang, sedangkan bagian bumi yang tidak terkena cahaya akan mengalami malam;Perubahan wujud dari bentuk padat menjadi gas;Karena massa jenis kayu lebih kecil dari massa jenis air sehingga bisa mengapung;;;
1/15/2021 20.58.46;untuk mewaspadai pemuaian saat suhu naik;perubahan fisik pada hewan saat mengalami masa pertumbuhan;karena adanya rotasi bumi,yaitu bumi berputar pada porosnya;perubahan wujud benda dari padat menjadi gas;karena gaya apung kayu lebih besar daripada gaya gravitasi;;;
1/15/2021 21.02.25;Karena pada rel kereta api dapat terjadi pemuaian, maka hal itu dibuat agar saat memuai rel kereta tidak melengkung keatas dan membahayakan kereta yang melintas; perubahan bentuk makhluk hidup di masa pertumbuhannya;Karena adanya rotasi bumi dari pusatnya, daerah yang terpapar sinar matahari menjadi siang, dan yang tidak terkena cahaya matahari adalah malam;  perubahan wujud dari padat menjadi gas ;Karena adanya perbedaan massa jenis;;;
1/15/2021 21.06.10;untuk mencegah pemuaian pada siang hari; proses perkembangan hewan yang melibatkan perubahan bentuk fisik;Karena terjadi rotasi bumi ;  perubahan wujud dari padat ke gas ;Karena massa jenis benda < massa jenis air ;;;
1/15/2021 21.18.59;agar pada saat panas masih ada ruang untuk memuai;Perubahan bentuk tubuh ;Rotasi bumi;Perubahan bentuk dari padat menjadi gas;Massa jenis kayu lebih kecil dari air;;;
1/15/2021 21.41.59;Agar kereta bisa lewat;Perubahan atau berkembang;Adanya rotasi bumi;Peleburan;Berbeda massa jenis;;;
1/15/2021 22.39.39;untuk mengantisipasi pemuaian yang dapat terjadi. ;Perubahan bentuk yang terjadi dalam siklus  suatu makhluk hidup;Rotasi bumi;Perubahan bentuk dari padat ke gas ;massa jenis kayu lebih ringan/kecil dari massa jenis air ;;;
;;;;;;;;
Kunci;;;;;;;;
;Agar saat rel kereta api memuai ketika terkena panas tidak bertubrukan dengan sambungan rel lainnya dan membengkok;proses perkembanganÿbiologiÿpadaÿhewanÿyang melibatkan perubahan fisik;Karena bumi mengalami rotasi;perubahan wujud zat dari padat menjadi gas;Karena massa jenis kayu lebih kecil daripada air;;;
